TL,13,,,,,13,0,0,0,-41,e0:5a:1b:15:c4:ca,MF0000
event,ms,E,Runiq,PDR,IDR,TL_ms,Pout1s,Pout2s,Pout3s,rssi,addr,mfd
TICK,1000,10,1,0.100,0.900,,,,,,,
TICK,2000,20,10,0.500,0.500,,,,,,,
TICK,3000,30,17,0.567,0.433,,,,,,,
TICK,4000,40,26,0.650,0.350,,,,,,,
TICK,5000,50,36,0.720,0.280,,,,,,,
TICK,6000,60,45,0.750,0.250,,,,,,,
TICK,7000,70,53,0.757,0.243,,,,,,,
TICK,8000,80,62,0.775,0.225,,,,,,,
TICK,9000,90,71,0.789,0.211,,,,,,,
TICK,10000,100,79,0.790,0.210,,,,,,,
TICK,11000,110,89,0.809,0.191,,,,,,,
TICK,12000,120,97,0.808,0.192,,,,,,,
TICK,13000,130,106,0.815,0.185,,,,,,,
TICK,14000,140,115,0.821,0.179,,,,,,,
TICK,15000,150,122,0.813,0.187,,,,,,,
TICK,16000,160,130,0.812,0.188,,,,,,,
TICK,17000,170,140,0.824,0.176,,,,,,,
TICK,18000,180,146,0.811,0.189,,,,,,,
TICK,19000,190,155,0.816,0.184,,,,,,,
TICK,20000,200,164,0.820,0.180,,,,,,,
TICK,21000,210,172,0.819,0.181,,,,,,,
TICK,22000,220,181,0.823,0.177,,,,,,,
TICK,23000,230,191,0.830,0.170,,,,,,,
TICK,24000,240,200,0.833,0.167,,,,,,,
TICK,25000,250,209,0.836,0.164,,,,,,,
