event,ms,E,Runiq,PDR,IDR,TL_ms,Pout1s,Pout2s,Pout3s,rssi,addr,mfd
TL,58,,,,58,0,0,0,-34,e0:5a:1b:15:c4:ca,MF60B3
TICK,1000,10,8,0.800,0.200,,,,,,,
TICK,2000,20,17,0.850,0.150,,,,,,,
TICK,3000,30,25,0.833,0.167,,,,,,,
TICK,4000,40,35,0.875,0.125,,,,,,,
TICK,5000,50,43,0.860,0.140,,,,,,,
TICK,6000,60,52,0.867,0.133,,,,,,,
TICK,7000,70,62,0.886,0.114,,,,,,,
TICK,8000,80,70,0.875,0.125,,,,,,,
TICK,9000,90,80,0.889,0.111,,,,,,,
TICK,10000,100,88,0.880,0.120,,,,,,,
TICK,11000,110,97,0.882,0.118,,,,,,,
TICK,12000,120,106,0.883,0.117,,,,,,,
TICK,13000,130,116,0.892,0.108,,,,,,,
TICK,14000,140,124,0.886,0.114,,,,,,,
TICK,15000,150,133,0.887,0.113,,,,,,,
TICK,16000,160,142,0.887,0.113,,,,,,,
TICK,17000,170,150,0.882,0.118,,,,,,,
TICK,18000,180,159,0.883,0.117,,,,,,,
TICK,19000,190,168,0.884,0.116,,,,,,,
TICK,20000,200,178,0.890,0.110,,,,,,,
TICK,21000,210,188,0.895,0.105,,,,,,,
TICK,22000,220,197,0.895,0.105,,,,,,,
TICK,23000,230,207,0.900,0.100,,,,,,,
TICK,24000,240,215,0.896,0.104,,,,,,,
TICK,25000,250,225,0.900,0.100,,,,,,,
TICK,26000,260,234,0.900,0.100,,,,,,,
TICK,27000,270,243,0.900,0.100,,,,,,,
TICK,28000,280,251,0.896,0.104,,,,,,,
TICK,29000,290,260,0.897,0.103,,,,,,,
TICK,30000,300,268,0.893,0.107,,,,,,,
TICK,31000,310,276,0.890,0.110,,,,,,,
TICK,32000,320,284,0.887,0.113,,,,,,,
TICK,33000,330,293,0.888,0.112,,,,,,,
TICK,34000,340,302,0.888,0.112,,,,,,,
TICK,35000,350,311,0.889,0.111,,,,,,,
TICK,36000,360,319,0.886,0.114,,,,,,,
TICK,37000,370,328,0.886,0.114,,,,,,,
TICK,38000,380,337,0.887,0.113,,,,,,,
TICK,39000,390,346,0.887,0.113,,,,,,,
TICK,40000,400,355,0.887,0.113,,,,,,,
TICK,41000,410,364,0.888,0.112,,,,,,,
TICK,42000,420,372,0.886,0.114,,,,,,,
TICK,43000,430,381,0.886,0.114,,,,,,,
TICK,44000,440,388,0.882,0.118,,,,,,,
TICK,45000,450,397,0.882,0.118,,,,,,,
TICK,46000,460,407,0.885,0.115,,,,,,,
TICK,47000,470,416,0.885,0.115,,,,,,,
TICK,48000,480,426,0.887,0.113,,,,,,,
TICK,49000,490,435,0.888,0.112,,,,,,,
TICK,50000,500,445,0.890,0.110,,,,,,,
TICK,51000,510,453,0.888,0.112,,,,,,,
TICK,52000,520,460,0.885,0.115,,,,,,,
TICK,53000,530,468,0.883,0.117,,,,,,,
TICK,54000,540,477,0.883,0.117,,,,,,,
TICK,55000,550,485,0.882,0.118,,,,,,,
TICK,56000,560,494,0.882,0.118,,,,,,,
TICK,57000,570,503,0.882,0.118,,,,,,,
TICK,58000,580,513,0.884,0.116,,,,,,,
TICK,59000,590,523,0.886,0.114,,,,,,,
TICK,60000,600,531,0.885,0.115,,,,,,,
FINAL,60000,600,531,0.885,0.115,,,,,,,
