session,interval_ms,pdr_unique_mean_scan50,pdr_unique_mean_scan90,pout_1s_mean_scan50,pout_1s_mean_scan90,tl_mean_s_mean_scan50,tl_mean_s_mean_scan90,tl_p95_s_mean_scan50,tl_p95_s_mean_scan90,E_per_adv_uJ_mean_scan50,E_per_adv_uJ_mean_scan90,avg_power_mW_mean_scan50,avg_power_mW_mean_scan90
S1,100,0.0,0.800189,0.0,0.1,0.0,12.020067,0.0,133.23755,0.0,20076.9,0.0,200.7673133513955
S1,500,0.500787,1.0,0.05,0.05,6.164233,6.114117,42.80245,42.0585,99954.6,101334.7,200.0276258067769,202.67522421772227
S1,1000,0.500787,1.0,0.216667,0.066667,7.95885,8.390517,49.61385,49.5388,199327.4,200939.4,199.44990624162872,200.9551999369035
S1,2000,0.8817035,1.0,0.8916665,0.066667,33.253275,7.74665,130.9739,49.5853,361619.75,400149.4,180.97215732624943,200.41421114000687
S1   # old 100ms (pdr_u≈0.20),100,0.200095,0.0,0.05,0.0,6.1111,0.0,42.4226,0.0,20059.0,0.0,200.57808418591608,0.0
S1   # retake 100ms (scan duty↑,100,0.829864,0.0,0.066667,0.0,8.37875,0.0,49.5042,0.0,20205.6,0.0,202.0492147059148,0.0
S4,100,0.199968,0.814166,0.085106,0.304965,4.033489,13.572234,19.6578,88.8787,20023.9,20031.3,200.21496446223827,200.28257005181428
S4,500,0.500787,1.0,0.056738,0.255319,2.033085,10.286142,8.8936,69.7413,100768.6,100001.5,201.6760431982325,200.04756736119546
S4,1000,0.500787,1.0,0.255319,0.177305,8.836241,6.840617,65.6606,56.0104,198948.3,200484.1,199.09037628418383,200.53753603089783
S4,2000,0.858491,1.0,0.673759,0.191489,16.592624,9.218681,111.53,77.1431,359182.1,399423.9,180.36553660450772,200.08969774163523
