rx_trial_id,condition,repeat_idx,mode,rx_count,rx_unique,adv_count,pdr_unique,rx_tag_share100_time_est,tl_mean_s,tl_p95_s,pout_1s,pout_2s,pout_3s,tl_time_offset_ms,tl_time_offset_n,txsd_ms_total,E_total_mJ,avg_power_mW,txsd_path,rx_path
20,S4_fixed100,1,FIXED_100,596,596,1796,0.331849,1.0,0.773463,8.8845,0.04878,0.04878,0.04878,656.0,596,181454.0,37594.961,207.18728162509507,uccs_d4b_scan70/data/01/TX/trial_003_c2_s4_fixed500.csv,uccs_d4b_scan70/data/01/RX/rx_trial_020.csv
21,S4_fixed500,1,FIXED_500,603,603,359,1.0,0.0,0.555951,0.3469,0.02439,0.02439,0.02439,673.0,603,179642.0,33619.59,187.14771601295908,uccs_d4b_scan70/data/01/TX/trial_001_c3_s4_policy.csv,uccs_d4b_scan70/data/01/RX/rx_trial_021.csv
22,S4_policy,1,POLICY,486,486,1215,0.4,0.526854,0.116512,0.271,0.0,0.0,0.0,685.0,486,180881.0,36034.839,199.21848618705116,uccs_d4b_scan70/data/01/TX/trial_002_c5_unk.csv,uccs_d4b_scan70/data/01/RX/rx_trial_022.csv
23,S4_ablation_ccs_off,1,U_ONLY,483,483,1787,0.270285,0.525032,0.147415,0.3361,0.0,0.0,0.0,706.0,483,178876.0,36766.979,205.54450569109326,uccs_d4b_scan70/data/01/TX/trial_004_c11_unk.csv,uccs_d4b_scan70/data/01/RX/rx_trial_023.csv
24,S4_fixed100,2,FIXED_100,591,591,1796,0.329065,1.0,0.164756,0.3607,0.0,0.0,0.0,722.0,591,181449.0,37548.833,206.93877067385324,uccs_d4b_scan70/data/01/TX/trial_004_c2_s4_fixed500.csv,uccs_d4b_scan70/data/01/RX/rx_trial_024.csv
25,S4_fixed500,2,FIXED_500,587,587,359,1.0,0.0,0.142537,0.3054,0.0,0.0,0.0,738.0,587,179621.0,33696.052,187.59528117536368,uccs_d4b_scan70/data/01/TX/trial_002_c3_s4_policy.csv,uccs_d4b_scan70/data/01/RX/rx_trial_025.csv
26,S4_policy,2,POLICY,479,479,1215,0.394239,0.510801,0.124415,0.2791,0.0,0.0,0.0,753.0,479,180858.0,36002.784,199.06658262283116,uccs_d4b_scan70/data/01/TX/trial_004_c5_unk.csv,uccs_d4b_scan70/data/01/RX/rx_trial_026.csv
27,S4_ablation_ccs_off,2,U_ONLY,473,473,1787,0.264689,0.495586,0.140951,0.298,0.0,0.0,0.0,768.0,473,178845.0,36732.187,205.38559646621374,uccs_d4b_scan70/data/01/TX/trial_005_c11_unk.csv,uccs_d4b_scan70/data/01/RX/rx_trial_027.csv
28,S4_fixed100,3,FIXED_100,597,597,1796,0.332405,1.0,0.400317,0.3028,0.02439,0.02439,0.02439,783.0,597,181422.0,37608.33,207.29751628799156,uccs_d4b_scan70/data/01/TX/trial_006_c2_s4_fixed500.csv,uccs_d4b_scan70/data/01/RX/rx_trial_028.csv
29,S4_fixed500,3,FIXED_500,597,597,359,1.0,0.0,0.372122,0.2906,0.02439,0.02439,0.02439,805.0,597,179612.0,33733.741,187.8145168474267,uccs_d4b_scan70/data/01/TX/trial_003_c3_s4_policy.csv,uccs_d4b_scan70/data/01/RX/rx_trial_029.csv
30,S4_policy,3,POLICY,480,480,1215,0.395062,0.496269,0.120378,0.2726,0.0,0.0,0.0,832.5,480,180844.0,35950.595,198.79340757780187,uccs_d4b_scan70/data/01/TX/trial_005_c5_unk.csv,uccs_d4b_scan70/data/01/RX/rx_trial_030.csv
31,S4_ablation_ccs_off,3,U_ONLY,470,470,1787,0.263011,0.478908,0.416561,0.5349,0.02439,0.02439,0.02439,845.0,470,178851.0,36697.326,205.18378985859738,uccs_d4b_scan70/data/01/TX/trial_005_c12_unk.csv,uccs_d4b_scan70/data/01/RX/rx_trial_031.csv
