x_s,cdf_policy,cdf_u_only
0.0,0.5284552845528455,0.5284552845528455
0.1,0.5447154471544715,0.5447154471544715
0.2,0.5853658536585366,0.5853658536585366
0.30000000000000004,0.5934959349593496,0.6016260162601627
0.4,0.6260162601626016,0.6260162601626016
0.5,0.6910569105691057,0.6585365853658537
0.6000000000000001,0.7886178861788617,0.7479674796747967
0.7000000000000001,0.8373983739837398,0.7967479674796748
0.8,0.8861788617886179,0.8699186991869918
0.9,0.9186991869918699,0.9024390243902439
1.0,0.926829268292683,0.9024390243902439
1.1,0.926829268292683,0.9024390243902439
1.2000000000000002,0.926829268292683,0.9024390243902439
1.3,0.9512195121951219,0.926829268292683
1.4000000000000001,1.0,1.0
1.5,1.0,1.0
1.6,1.0,1.0
1.7000000000000002,1.0,1.0
1.8,1.0,1.0
1.9000000000000001,1.0,1.0
2.0,1.0,1.0
