transition_step,label_prev,label_cur,policy_out_n,policy_n,policy_out_rate,u_only_out_n,u_only_n,u_only_out_rate,u_minus_p_out_rate
1128,2,9,0.0,3.0,0.0,1.0,3.0,0.3333333333333333,0.3333333333333333
1404,9,7,0.0,3.0,0.0,1.0,3.0,0.3333333333333333,0.3333333333333333
88,0,6,3.0,3.0,1.0,3.0,3.0,1.0,0.0
91,6,7,3.0,3.0,1.0,3.0,3.0,1.0,0.0
13,1,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
97,7,11,0.0,3.0,0.0,0.0,3.0,0.0,0.0
120,11,10,0.0,3.0,0.0,0.0,3.0,0.0,0.0
245,10,6,0.0,3.0,0.0,0.0,3.0,0.0,0.0
338,6,7,0.0,3.0,0.0,0.0,3.0,0.0,0.0
362,7,11,0.0,3.0,0.0,0.0,3.0,0.0,0.0
376,11,4,0.0,3.0,0.0,0.0,3.0,0.0,0.0
429,4,10,0.0,3.0,0.0,0.0,3.0,0.0,0.0
605,10,3,0.0,3.0,0.0,0.0,3.0,0.0,0.0
615,3,7,0.0,3.0,0.0,0.0,3.0,0.0,0.0
642,7,3,0.0,3.0,0.0,0.0,3.0,0.0,0.0
680,3,9,0.0,3.0,0.0,0.0,3.0,0.0,0.0
714,9,8,0.0,3.0,0.0,0.0,3.0,0.0,0.0
724,8,7,0.0,3.0,0.0,0.0,3.0,0.0,0.0
775,7,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
796,0,7,0.0,3.0,0.0,0.0,3.0,0.0,0.0
858,7,4,0.0,3.0,0.0,0.0,3.0,0.0,0.0
963,4,6,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1035,6,5,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1055,5,9,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1087,9,2,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1130,9,4,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1224,4,9,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1282,9,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1299,0,9,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1410,7,2,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1414,2,8,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1458,8,6,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1523,6,11,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1581,11,5,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1603,5,1,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1614,1,2,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1627,2,8,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1678,8,1,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1697,1,2,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1701,2,1,0.0,3.0,0.0,0.0,3.0,0.0,0.0
1766,1,3,0.0,3.0,0.0,0.0,3.0,0.0,0.0
